0;0;0;0;land;false;unknown;0
1;169;189;182;land;true;urban;0
2;1;111;35;land;true;urban;0
3;1;45;95;land;true;urban;0
4;238;149;159;sea;true;ocean;0
5;254;123;76;sea;false;ocean;0
6;92;14;248;sea;false;ocean;0
7;91;14;244;sea;false;ocean;0
8;35;0;232;sea;false;ocean;0
9;34;0;248;sea;false;ocean;0
10;90;14;240;sea;false;ocean;0
11;1;12;25;land;true;urban;0
12;90;12;81;land;true;urban;0
13;1;159;135;land;true;urban;0
14;85;15;211;land;false;unknown;0
15;85;36;221;land;false;unknown;0
16;127;72;64;land;false;unknown;0
17;85;135;81;land;false;unknown;0
18;169;141;82;land;false;unknown;0
19;86;54;166;land;false;unknown;0
20;2;96;10;land;false;unknown;0
21;169;75;192;land;false;unknown;0
22;85;3;151;land;false;unknown;0
23;127;39;94;land;false;unknown;0
24;127;6;24;land;false;unknown;0
25;255;61;128;land;false;unknown;0
26;84;78;26;land;false;unknown;0
27;44;99;138;land;false;unknown;0
28;169;42;222;land;false;unknown;0
29;170;93;137;land;false;unknown;0
30;1;78;65;land;false;unknown;0
31;170;60;167;land;false;unknown;0
32;169;9;152;land;false;unknown;0
33;43;81;193;land;false;unknown;0
34;128;57;39;land;false;unknown;0
35;88;34;240;land;false;unknown;0
36;87;34;236;land;false;unknown;0
37;85;34;248;land;false;unknown;0
38;82;34;236;land;false;unknown;0
39;12;8;232;land;false;unknown;0
40;97;34;236;land;false;unknown;0
41;98;34;240;land;false;unknown;0
42;101;34;232;land;false;unknown;0
43;13;8;236;land;false;unknown;0
44;24;33;244;land;false;unknown;0
45;23;33;240;land;false;unknown;0
46;21;33;232;land;false;unknown;0
47;17;8;232;land;false;unknown;0
48;3;33;240;land;false;unknown;0
49;2;33;236;land;false;unknown;0
50;1;33;232;land;false;unknown;0
51;122;33;248;land;false;unknown;0
52;120;33;240;land;false;unknown;0
53;119;33;236;land;false;unknown;0
54;21;8;248;land;false;unknown;0
55;118;33;232;land;false;unknown;0
56;116;33;244;land;false;unknown;0
57;22;8;232;land;false;unknown;0
58;112;33;248;land;false;unknown;0
59;113;33;232;land;false;unknown;0
