6;arms_factory;3248.00;10.00;912.00;3.23;0
6;arms_factory;3260.00;9.98;907.00;4.44;0
6;arms_factory;3239.00;9.80;923.00;2.27;0
6;arms_factory;3250.00;9.80;920.00;4.94;0
6;arms_factory;3247.00;9.90;917.00;0.21;0
6;arms_factory;3259.00;9.70;921.00;2.88;0
6;industrial_complex;3251.00;9.80;918.00;0.72;0
6;industrial_complex;3248.00;9.90;915.00;1.93;0
6;industrial_complex;3256.00;9.90;912.00;4.94;0
6;industrial_complex;3258.00;9.95;909.00;2.78;0
6;industrial_complex;3247.00;9.80;923.00;3.99;0
6;industrial_complex;3245.00;9.82;921.00;1.83;0
6;air_base;3240.00;9.90;919.00;3.39;0
6;bunker;3253.00;9.80;923.00;6.06;0
6;bunker;3241.00;9.88;921.00;2.44;0
6;anti_air_building;3248.00;9.90;916.00;5.45;0
6;anti_air_building;3256.00;9.88;913.00;0.38;0
6;anti_air_building;3258.00;9.90;910.00;4.51;0
6;radar_station;3235.00;9.90;920.00;5.71;0
5;arms_factory;3264.00;9.80;911.00;3.23;0
5;arms_factory;3282.00;9.78;903.00;4.44;0
5;arms_factory;3274.00;9.80;911.00;2.27;0
5;arms_factory;3282.00;9.90;905.00;4.94;0
5;arms_factory;3269.00;9.80;923.00;0.21;0
5;arms_factory;3274.00;9.73;921.00;2.88;0
5;industrial_complex;3272.00;9.73;924.00;0.72;0
5;industrial_complex;3271.00;9.75;905.00;1.93;0
5;industrial_complex;3286.00;9.80;925.00;4.94;0
5;industrial_complex;3268.00;9.90;907.00;2.78;0
5;industrial_complex;3282.00;9.70;926.00;3.99;0
5;industrial_complex;3283.00;9.90;908.00;1.83;0
5;air_base;3284.00;9.80;914.00;3.39;0
5;bunker;3275.00;9.60;903.00;2.44;0
5;bunker;3290.00;9.90;918.00;5.45;0
5;bunker;3281.00;9.80;915.00;0.38;0
5;bunker;3271.00;9.70;918.00;4.51;0
5;bunker;3262.00;9.70;921.00;0.89;0
5;bunker;3277.00;9.70;928.00;3.90;0
5;bunker;3264.00;9.85;904.00;0.28;0
5;anti_air_building;3272.00;9.75;926.00;0.89;0
5;anti_air_building;3284.00;9.75;922.00;5.01;0
5;anti_air_building;3280.00;9.60;901.00;1.39;0
5;radar_station;3257.00;10.10;904.00;3.00;0
3;arms_factory;3274.00;9.60;940.00;3.83;0
3;arms_factory;3252.00;9.90;947.00;0.21;0
3;arms_factory;3249.00;9.80;927.00;3.23;0
3;arms_factory;3260.00;9.80;928.00;4.44;0
3;arms_factory;3283.00;9.60;943.00;2.27;0
3;arms_factory;3253.00;9.80;927.00;4.94;0
3;industrial_complex;3243.00;10.00;936.00;0.21;0
3;industrial_complex;3256.00;9.90;935.00;2.88;0
3;industrial_complex;3278.00;9.50;948.00;0.72;0
3;industrial_complex;3283.00;9.70;932.00;1.93;0
3;industrial_complex;3259.00;9.90;935.00;4.94;0
3;industrial_complex;3282.00;9.57;948.00;2.78;0
3;air_base;3287.00;9.70;932.00;3.99;0
3;bunker;3269.00;9.60;945.00;3.39;0
3;bunker;3242.00;9.95;946.00;6.06;0
3;bunker;3272.00;9.60;937.00;2.44;0
3;bunker;3254.00;9.90;949.00;5.45;0
3;bunker;3267.00;9.70;937.00;0.38;0
3;bunker;3241.00;9.85;927.00;4.51;0
3;bunker;3253.00;9.90;934.00;0.89;0
3;bunker;3281.00;9.68;933.00;3.90;0
3;bunker;3273.00;9.50;948.00;0.28;0
